playerID,playerID_trade,full_name,first_name,last_name,birth_date
00-0026286,FeltJe00,Jerome Felton,Jerome,Felton,1986-07-03
00-0032736,UzdaAr00,Arturo Uzdavinis,Arturo,Uzdavinis,1992-11-02
00-0034490,TurnZe00,Ezekiel Turner,Ezekiel,Turner,1996-06-09
00-0032152,WillKa01,Karlos Williams,Karlos,Williams,1993-05-04
00-0031773,WilsJu00,Julian Wilson,Julian,Wilson,1991-10-25
00-0031080,GoodDe00,Demetri Goodson,Demetri,Goodson,1989-06-11
00-0031514,BrayQu00,Quan Bray,JaQuan,Bray,1993-04-28
00-0036605,PircMa00,Max Pircher,Max,Pircher,1999-09-07
00-0033260,HennTh00,Thomas Hennessy,Thomas,Hennessy,1994-06-11
00-0028841,JohnWi00,Will Johnson,William,Johnson,1988-11-14
00-0036106,MotlPa00,Parnell Motley,Parnell,Motley,1997-10-28
00-0036927,WernPe00,Pete Werner,Pete,Werner,1999-06-05
00-0035998,JacqMi00,Michael Jacquet,Michael,Jacquet,1997-01-29
00-0032785,VaitHa00,Halapoulivaati Vaitai,Halapoulivaati,Vaitai,1993-06-16
00-0028023,ReidJa00,Jah Reid,Jah,Reid,1988-07-21
00-0039884,WashTa00,Tahj Washington,Tahj,Washington,2001-05-16
00-0038131,IngrEd00,Ed Ingram,Edward,Ingram,1999-02-11
00-0040248,BiggZe01,Zeek Biggers,Zeek,Biggers,2003-10-04
00-0030946,HydeKe01,Kerry Hyder,Kerry,Hyder,1991-05-02
00-0025925,VelaFe20,Fernando Velasco,Fernando,Velasco,1985-02-22
00-0040046,FairRi00,Rivaldo Fairweather,Rivaldo,Fairweather,2002-07-19
00-0031314,JohnWe00,Wesley Johnson,Wesley,Johnson,1991-01-09
00-0033786,GlasRy00,Ryan Glasgow,Ryan,Glasgow,1993-09-30
00-0034095,McFaTa00,Tarvarus McFadden,Tarvarus,McFadden,1997-01-28
00-0038668,HayeKa00,Kaleb Hayes,Kaleb,Hayes,1999-03-19
00-0036544,FishPa00,Paddy Fisher,Padriac,Fisher,1998-01-22
00-0033890,BakeBu00,Budda Baker,Bishard,Baker,1996-01-10
00-0034685,CampCh01,Chris Campbell,Christian,Campbell,1995-11-27
00-0029257,WortJe00,Jerel Worthy,Jerel,Worthy,1990-04-28
00-0034764,GallMi00,Michael Gallup,Michael,Gallup,1996-03-04
00-0033885,NjokDa00,David Njoku,Chief,Njoku,1996-07-10
00-0032973,SancZa00,Zack Sanchez,Zachary,Sanchez,1993-10-11
00-0024330,BlacWi20,Will Blackmon,William,Blackmon,1984-10-27
00-0032511,ZamoRo01,Ronald Zamort,Ronald,Zamort,1991-11-10
00-0034752,BrowOr00,Orlando Brown,Orlando,Brown,1996-05-02
00-0030975,BayeAl00,Alex Bayer,Alex,Bayer,1990-11-08
00-0030972,WhalCh01,Chris Whaley,Chris,Whaley,1990-12-08
00-0040064,ThomWy00,Wy'Kevious Thomas,Wy'Kevious,Thomas,2000-07-05
00-0032272,BattIs00,Isaiah Battle,Isaiah,Battle,1993-02-10
00-0036665,WebbMa01,Mark Webb,Mark,Webb,1998-09-10
00-0028984,TymsBr00,Brian Tyms,Brian,Tyms,1989-02-21
00-0031820,TrinLo01,Louis Trinca-Pasat,Louis,Trinca-Pasat,1991-09-07
00-0035812,CookCa00,Case Cookus,Stephen,Cookus,1995-10-06
00-0030769,BailDi00,Dion Bailey,Dion,Bailey,1992-03-02
00-0033733,WardGr02,Greg Ward,Gregory,Ward,1995-07-12
00-0034857,AlleJo02,Josh Allen,Joshua,Allen,1996-05-21
00-0032192,MunyDa00,Daniel Munyer,Daniel,Munyer,1992-03-04
00-0038408,ValeCa00,Carrington Valentine,Carrington,Valentine,2001-09-09
00-0036515,NaggCh00,Chris Naggar,Chris,Naggar,1997-12-09
00-0037074,WalkQu00,Quay Walker,Jaquavian,Walker,2000-05-08
00-0033868,GarrMy00,Myles Garrett,Myles,Garrett,1995-12-29
00-0034286,JameRi00,Richie James,Richard,James,1995-09-05
00-0028073,StanRi00,Ricky Stanzi,Richard,Stanzi,1987-09-03
00-0032351,McKaMe00,Mekale McKay,Mekale,McKay,1993-08-04
00-0035036,ReynRo00,Ross Reynolds,Ross,Reynolds,1995-09-14
00-0040494,BrosMa00,Max Brosmer,Max,Brosmer,2001-03-28
00-0032502,LouiLa00,Lamar Louis,Lamar,Louis,1993-10-02
00-0036173,HudsTo00,Tommy Hudson,Tommy,Hudson,1997-02-22
00-0037236,HutcAi00,Aidan Hutchinson,Aidan,Hutchinson,2000-08-09
00-0027944,JoneJu02,Julio Jones,Quintorres,Jones,1989-02-08
00-0039305,WestJa01,Jack Westover,Jack,Westover,1999-06-09
00-0036550,BateRa00,Rashod Bateman,Rashod,Bateman,1999-11-29
00-0036613,WaddJa00,Jaylen Waddle,Jaylen,Waddle,1998-11-25
00-0029699,BergTo00,Tony Bergstrom,Steven,Bergstrom,1986-08-06
00-0033604,HogaKr00,Krishawn Hogan,Krishawn,Hogan,1995-05-12
00-0039685,WoodAJ00,A.J. Woods,Anthony,Woods,2001-03-28
00-0030034,JacoCh00,Chuck Jacobs,Chuck,Jacobs,1990-05-11
00-0027531,IvorCh00,Chris Ivory,Christopher,Ivory,1988-03-22
00-0033911,TaylTa00,Taywan Taylor,Taywan,Taylor,1995-03-02
00-0038458,WrigOw00,Owen Wright,Owen,Wright,1999-02-28
00-0035450,DixoJo01,Johnnie Dixon,Johnnie,Dixon,1994-09-16
00-0032233,OgbuCe00,Cedric Ogbuehi,Cedric,Ogbuehi,1992-04-25
00-0037394,FernEt00,Ethan Fernea,Ethan,Fernea,1998-03-02
00-0033338,CartCe00,Cethan Carter,Cethan,Carter,1995-09-05
00-0039067,RiceRa01,Rashee Rice,Rashee,Rice,2000-04-22
00-0038923,WagnDa00,Dalton Wagner,Dalton,Wagner,1998-10-05
00-0039284,McGrBr00,Braiden McGregor,Braiden,McGregor,2001-07-12
00-0039321,MettMc00,McKade Mettauer,McKade,Mettauer,2000-07-19
00-0032265,EdwaMa01,Mario Edwards,Mario,Edwards,1994-01-25
00-0039169,WithDe00,Devon Witherspoon,Devon,Witherspoon,2000-12-11
00-0033945,EbukSa00,Samson Ebukam,Nnamaka,Ebukam,1995-05-09
00-0035887,LipsKa01,Kalija Lipscomb,Kalija,Lipscomb,1997-10-06
00-0036451,DaviCo04,Connor Davis,Connor,Davis,1994-10-20
00-0034748,GrayDa01,Davon Grayson,Davon,Grayson,1995-09-05
00-0032796,NicoDa00,Dadi Nicolas,Dadi,Nicolas,1992-09-29
00-0029696,LewiCh01,Chris Lewis-Harris,Christopher,Lewis-Harris,1989-02-11
00-0035073,HarrJo05,Jonathan Harris,Jonathan,Harris,1996-08-04
00-0036724,McCaMa02,Mac McCain III,Mac,McCain,1998-02-06
00-0040504,NesbBr00,Bryson Nesbit,Bryson,Nesbit,2002-09-25
00-0036100,ZubeIs00,Isaiah Zuber,Willie,Zuber,1997-04-15
00-0039070,DextGe00,Gervon Dexter Sr.,Gervon,Dexter,2000-10-05
00-0029659,JoneMa03,Marcel Jones,Marcel,Jones,1988-09-04
00-0031042,AmarJa00,Jace Amaro,Jace,Amaro,1992-06-26
00-0034224,RichRa00,Ramon Richards,Ramon,Richards,1995-11-29
00-0039521,WeavXa00,Xavier Weaver,Xavier,Weaver,2000-10-12
00-0029984,AlleRy01,Ryan Allen,Ryan,Allen,1990-02-28
00-0040195,BurkDe01,Denzel Burke,Denzel,Burke,2002-11-10
00-0028119,GordRi00,Richard Gordon,Richard,Gordon,1987-06-07
00-0040216,MedrKa00,Kain Medrano,Kain,Medrano,2001-02-16
00-0033196,TrinZa00,Zach Triner,Zach,Triner,1991-01-30
00-0033875,ReddHa00,Haason Reddick,Haason,Reddick,1994-09-22
00-0034992,WattAr01,Armon Watts,Armon,Watts,1996-07-22
00-0039424,VeleDe00,Devaughn Vele,Devaughn,Vele,1997-12-12
00-0040620,MoorTJ00,TJ Moore,TJ,Moore,2001-12-15
00-0032050,MoorCo00,Corey Moore,Corey,Moore,1993-01-28
00-0036067,JohnJa14,Jan Johnson,Jan,Johnson,1996-04-09
00-0026714,SundNi00,Nick Sundberg,Nicholas,Sundberg,1987-07-29
00-0039015,,LaTrell Bumphus,LaTrell,Bumphus,1999-09-30
00-0032211,LockTy00,Tyler Lockett,Tyler,Lockett,1992-09-28
00-0036649,BohaQu00,Quinton Bohanna,Quinton,Bohanna,1999-03-16
00-0033591,BrowNo00,Noah Brown,Noah,Brown,1996-01-06
00-0039908,JenkKr01,Kris Jenkins,Kristopher,Jenkins,2001-10-10
00-0036774,RalsNi00,Nick Ralston,Nick,Ralston,1996-11-10
00-0038113,SmitBr08,Brandon Smith,Brandon,Smith,2001-04-12
00-0037841,LakeQu00,Quentin Lake,Quentin,Lake,1999-01-29
00-0029041,KinnG.00,G.J. Kinne,Gary,Kinne,1988-12-01
00-0033838,EdmuTr00,Trey Edmunds,Ferrell,Edmunds,1994-12-30
00-0031992,CookKe00,Kenny Cook,Kenny,Cook,1992-05-20
00-0020679,HillSh00,Shaun Hill,Shaun,Hill,1980-01-09
00-0032784,HogaKe00,Kevin Hogan,Kevin,Hogan,1992-10-20
00-0040613,DolaSh00,Shaun Dolac,Shaun,Dolac,2001-09-14
00-0031818,MarqBr00,Bradley Marquez,Bradley,Marquez,1992-12-14
00-0032800,WoodJo00,Jonathan Woodard,Jonathan,Woodard,1993-09-19
00-0031101,BarrSh00,Shaquil Barrett,Shaquil,Barrett,1992-11-17
00-0028987,SupePh00,Phillip Supernaw,Phillip,Supernaw,1990-01-30
00-0034346,HernWi00,Will Hernandez,William,Hernandez,1995-09-02
00-0031242,StepSh00,Shamar Stephen,Shamar,Stephen,1991-02-25
00-0027942,GreeA.00,A.J. Green,Adriel,Green,1988-07-31
00-0036924,CartMi03,Michael Carter,Michael,Carter,1999-05-07
00-0036352,DaviCa03,Carlos Davis,Carlos,Davis,1996-08-22
00-0023436,SmitAl03,Alex Smith,Alexander,Smith,1984-05-07
00-0027610,AdamPh00,Phillip Adams,Phillip,Adams,1988-07-20
00-0033009,BoydTy00,Tyler Boyd,Tyler,Boyd,1994-11-15
00-0039664,JohnJa07,Jaylen Johnson,Jaylen,Johnson,2000-05-26
00-0039739,WilsRo02,Roman Wilson,Roman,Wilson,2001-06-19
00-0040398,CookBr03,Brady Cook,Brady,Cook,2001-10-12
00-0032953,HackCh01,Christian Hackenberg,Christian,Hackenberg,1995-02-14
00-0030389,HawkTa00,Tanner Hawkinson,Griffin,Hawkinson,1990-05-14
00-0036514,HogeTr00,Tristen Hoge,Tristen,Hoge,1997-04-23
00-0029547,BallVi00,Vick Ballard,Vick,Ballard,1990-07-16
00-0034274,NickPa00,Parry Nickerson,Parry,Nickerson,1994-10-11
00-0035352,DodsTy01,Tyrel Dodson,Tyrel,Dodson,1998-06-25
00-0032379,ApplEl00,Eli Apple,Eli,Apple,1995-08-09
00-0030504,WatfEa00,Earl Watford,Earl,Watford,1990-06-24
00-0040393,RobiKy00,Kye Robichaux,Kye,Robichaux,2002-10-06
00-0027980,ReedBr00,Brooks Reed,Brooks,Reed,1987-02-28
00-0032174,FoxxDe00,Deshon Foxx,Deshon,Foxx,1992-11-27
00-0033468,EligUk00,Ukeme Eligwe,Ukeme,Eligwe,1994-04-27
00-0030650,McDoDe01,Dewey McDonald,Dewey,McDonald,1990-06-10
00-0040182,TradDa00,Dante Trader Jr.,Dante,Trader,2003-02-13
00-0034067,DalySc01,Scott Daly,Kevin,Daly,1994-02-07
00-0031019,LinsCo00,Corey Linsley,Corey,Linsley,1991-07-27
00-0028032,ElliKe01,Kenrick Ellis,Kenrick,Ellis,1987-12-10
00-0030968,SmitKe03,Keith Smith,Alton,Smith,1992-04-08
00-0031829,GuntLa00,LaDarius Gunter,LaDarius,Gunter,1992-05-13
00-0033273,,Jerry Ugokwe,Jerry,Ugokwe,1994-02-24
00-0031821,WillDa07,Darrell Williams,Darrell,Williams,1993-08-03
00-0036222,RodgIs00,Isaiah Rodgers,Isaiah,Rodgers,1998-01-07
00-0039652,SmalJa00,Jabari Small,Jabari,Small,2002-01-31
00-0030317,CromMa01,Marcus Cromartie,Marcus,Cromartie,1990-12-03
00-0037134,ElliNo00,Noah Elliss,Noah,Elliss,1999-03-31
00-0030083,AbouOd00,Oday Aboushi,Oday,Aboushi,1991-06-05
00-0038136,BryaCo01,Coby Bryant,Coby,Bryant,1999-03-29
00-0033066,BillAn00,Andrew Billings,Andrew,Billings,1995-06-03
00-0037637,ThomBr04,Brayden Thomas,Brayden,Thomas,1998-03-20
00-0031385,CastSe00,Sergio Castillo,Sergio,Castillo,1990-11-01
00-0035102,DillBr00,Brandon Dillon,Brandon,Dillon,1997-04-30
00-0038882,WaegSp00,Spencer Waege,Spencer,Waege,1999-05-06
00-0028434,BaldDo00,Doug Baldwin,Douglas,Baldwin,1988-09-21
00-0040161,KennKy00,Kyle Kennard,Kyle,Kennard,2001-12-12
00-0032201,HeenBe00,Ben Heeney,Benjamin,Heeney,1992-05-13
00-0032365,AyerDe00,DeMarcus Ayers,DeMarcus,Ayers,1994-07-07
00-0040644,EtieTr01,Trevor Etienne,Trevor,Etienne,2004-07-09
JON031942,,Andrew Jones,Andrew,Jones,
00-0033599,AgudCa00,Carlton Agudosi,Carlton,Agudosi,1994-02-01
00-0034177,BoylTi00,Tim Boyle,Timothy,Boyle,1994-10-03
00-0031944,GranDo00,Doran Grant,Doran,Grant,1992-11-30
00-0039432,RogeJu01,Justin Rogers,Justin,Rogers,2001-09-12
00-0035539,NautIs00,Isaac Nauta,Isaac,Nauta,1997-05-21
00-0029208,WalkTy00,Tyrunn Walker,Tyrunn,Walker,1990-03-18
00-0034933,GoodAh00,Ahmad Gooden,Ahmad,Gooden,1995-10-27
00-0034080,KoloJe00,Jeremiah Kolone,Jeremiah,Kolone,1994-10-23
00-0035630,LindCh00,Chris Lindstrom,Christopher,Lindstrom,1997-02-28
00-0023682,FitzRy00,Ryan Fitzpatrick,Ryan,Fitzpatrick,1982-11-24
00-0024183,GrimBr20,Brent Grimes,Brent,Grimes,1983-07-19
00-0034516,HernTr00,Tre Herndon,Willie,Herndon,1996-03-05
00-0007091,HassMa00,Matt Hasselbeck,Matthew,Hasselbeck,1975-09-25
00-0035238,FordCo00,Cody Ford,Cody,Ford,1996-12-28
00-0035860,JoneTo04,Tony Jones,Tony,Jones,1997-11-24
00-0033955,McNiJe00,Jeremy McNichols,Jeremy,McNichols,1995-12-26
00-0039028,ShelNe00,Nehemiah Shelton,Nehemiah,Shelton,1999-09-13
00-0030077,HarpCh00,Chris Harper,Christopher,Harper,1989-09-10
00-0033894,WillMa06,Marcus Williams,Marcus,Williams,1996-09-08
00-0033505,TomxCa00,Cameron Tom,Cameron,Tom,1995-06-21
00-0034358,GuicDe00,Derrius Guice,Derrius,Guice,1997-06-21
00-0037837,AustCa00,Calvin Austin III,Calvin,Austin,1999-03-24
00-0035491,RichAJ00,A.J. Richardson,A.J.,Richardson,1995-06-02
00-0033793,LeviCo00,Corey Levin,Corey,Levin,1994-08-12
00-0040522,RestXa00,Xavier Restrepo,Xavier,Restrepo,2002-04-12
00-0040329,GreeBJ00,BJ Green II,BJ,Green,2003-07-03
00-0036565,MasoBe00,Ben Mason,Ben,Mason,1999-05-25
00-0036981,BarmCh00,Christian Barmore,Christian,Barmore,1999-07-28
00-0028113,StinBy00,Byron Stingily,Byron,Stingily,1988-09-09
00-0034330,SmalJo00,Jordan Smallwood,Jordan,Smallwood,1995-01-18
00-0040443,DaviJo04,Joaquin Davis,Joaquin,Davis,2002-08-18
00-0036197,FromJa00,Jake Fromm,William,Fromm,1998-07-30
00-0040252,MinoKo00,Kobee Minor,Kobee,Minor,2002-07-08
FAL374501,FaleLo00,Lo Falemaka,Haile,Falemaka,
00-0034988,SmitKa00,Kaden Smith,Kaden,Smith,1997-04-24
00-0036213,DaviRa03,Raekwon Davis,Raekwon,Davis,1997-06-10
00-0035336,CalhSh01,Shaq Calhoun,Deion,Calhoun,1996-02-20
00-0030564,HopkDe00,DeAndre Hopkins,DeAndre,Hopkins,1992-06-06
00-0031603,FabuTa00,Tayo Fabuluje,Olutayo,Fabuluje,1991-07-17
00-0035910,SmitTJ00,T.J. Smith,T.J.,Smith,1997-04-19
00-0039429,BarrMi00,Michael Barrett,Michael,Barrett,1999-12-21
00-0032737,VainSo01,Soma Vainuku,Soma,Vainuku,1992-05-28
00-0036546,WillTr07,Trill Williams,Atrilleon,Williams,1999-12-29
00-0030805,,Je'Ron Hamm,Je'Ron,Hamm,1992-06-15
00-0031957,NuneRa00,Rakeem Nunez-Roches,Rakeem,Nunez-Roches,1993-07-03
00-0035987,FullAa01,Aaron Fuller,Aaron,Fuller,1997-09-30
00-0031815,LyncCa00,Cameron Lynch,Cameron,Lynch,1993-08-04
00-0035649,DaviNa01,Nate Davis,Nate,Davis,1996-09-23
00-0032440,TaylKe01,Kelvin Taylor,Kelvin,Taylor,1993-09-28
00-0033259,GrifTr00,Trey Griffey,George,Griffey,1994-01-19
00-0033762,TillLe01,Lenard Tillery,Lenard,Tillery,1993-12-09
00-0040302,HennAJ00,A.J. Henning,Antiwan,Henning,2001-09-09
00-0030140,WayxTr00,Tress Way,Tressler,Way,1990-04-18
00-0037323,ThomRo07,Rodney Thomas,Rodney,Thomas,1998-06-26
00-0033007,,Terran Vaughn,Terran,Vaughn,1994-03-30
00-0031382,LandJa00,Jarvis Landry,Jarvis,Landry,1992-11-28
00-0029422,TandKe00,Keith Tandy,Jordan,Tandy,1989-02-12
00-0035666,EvanBo00,Bobby Evans,Bobby,Evans,1997-03-24
00-0038951,TuckSe00,Sean Tucker,Sean,Tucker,2001-10-25
00-0038093,FarrNe00,Neil Farrell,Neil,Farrell,1998-09-09
00-0022080,MathRa99,Rashean Mathis,Rashean,Mathis,1980-08-27
00-0036170,PanaMi00,Mike Panasiuk,Mike,Panasiuk,1997-10-13
00-0033087,BundMa00,Marquis Bundy,Marquis,Bundy,1994-08-05
00-0037477,TraiAn00,Andrew Trainer,Andrew,Trainer,1997-12-18
00-0036053,AverJo01,Josh Avery,Josh,Avery,1996-03-16
00-0034647,ReddTe00,Teo Redding,Teo,Redding,1994-12-08
00-0031537,WynnDy00,Dylan Wynn,Charles,Wynn,1993-06-01
00-0030525,AustTa00,Tavon Austin,Tavon,Austin,1990-03-15
00-0032032,BarnTa00,Tavaris Barnes,Tavaris,Barnes,1991-11-02
00-0032212,McDoDe02,Dexter McDonald,Dexter,McDonald,1991-11-30
00-0032965,StanRo00,Ronnie Stanley,Ronnie,Stanley,1994-03-18
00-0027647,McCoDe99,Devin McCourty,Devin,McCourty,1987-08-13
00-0037537,KiddLe00,Lewis Kidd,Tyrone,Kidd,1997-09-15
00-0036979,VeraAl00,Alijah Vera-Tucker,Solomon,Vera-Tucker,1999-06-17
00-0026512,BakeCh99,Chris Baker,Christopher,Baker,1987-10-08
00-0033300,McDeCo00,Conor McDermott,Conor,McDermott,1992-10-19
00-0035092,JohnJu00,Justin Johnson,Julian,Johnson,1996-11-08
00-0029187,BarcDo00,Don Barclay,Donald,Barclay,1989-04-18
00-0032452,BateTr00,Trevor Bates,Trevor,Bates,1993-08-28
00-0033303,ButkHa00,Harrison Butker,Harrison,Butker,1995-07-14
00-0035130,MabiDy00,Dylan Mabin,Dylan,Mabin,1997-09-14
00-0035609,GervJa00,Jake Gervase,Jake,Gervase,1995-09-18
00-0034403,SamxCh00,Christian Sam,Christian,Sam,1996-06-07
00-0033886,WattT.00,T.J. Watt,Trent,Watt,1994-10-11
00-0035418,KnigBr01,Brandon Knight,Brandon,Knight,1997-04-01
00-0034867,TurnMa00,Malik Turner,Malik,Turner,1996-01-30
