playerID,week,year,injuryStatus,primaryInjury,practiceStatus
00-0033217,13,2020,,,Did Not Participate In Practice
00-0036187,14,2022,Out,Ankle,Did Not Participate In Practice
00-0033888,17,2022,,,Full Participation in Practice
00-0038134,13,2023,Doubtful,Oblique,Did Not Participate In Practice
00-0030427,1,2016,,,Full Participation in Practice
00-0035713,7,2024,Questionable,Groin,Limited Participation in Practice
00-0033284,5,2024,,,Full Participation in Practice
00-0036158,12,2024,,,Full Participation in Practice
00-0033025,11,2021,Questionable,Ribs,Limited Participation in Practice
00-0038111,6,2024,,,Full Participation in Practice
00-0034815,6,2024,,,Full Participation in Practice
00-0036603,16,2024,,,Did Not Participate In Practice
00-0034830,7,2022,,,Limited Participation in Practice
00-0035022,10,2022,,,Full Participation in Practice
00-0032416,12,2019,,,Full Participation in Practice
00-0031687,12,2023,,,Limited Participation in Practice
00-0036934,7,2023,,,Full Participation in Practice
00-0031241,5,2015,Out,Hamstring,Did Not Participate In Practice
00-0033347,8,2023,,,Full Participation in Practice
00-0029892,10,2019,,,Full Participation in Practice
00-0035643,13,2020,Questionable,Knee,Did Not Participate In Practice
00-0036425,16,2020,Out,Ankle,Did Not Participate In Practice
00-0030575,8,2021,Questionable,Calf,Full Participation in Practice
00-0035499,12,2019,,,Full Participation in Practice
00-0035692,16,2023,,,Full Participation in Practice
00-0027170,8,2015,Probable,Groin,Full Participation in Practice
00-0035219,14,2021,Out,Ankle,Did Not Participate In Practice
00-0033057,15,2020,,,Limited Participation in Practice
00-0039072,6,2023,Questionable,Shoulder,Limited Participation in Practice
00-0030670,1,2016,Out,Elbow,Did Not Participate In Practice
00-0033895,15,2023,,,Full Participation in Practice
00-0037758,9,2024,,,Limited Participation in Practice
00-0032454,16,2022,,,Full Participation in Practice
00-0032203,3,2019,,,Full Participation in Practice
00-0032127,12,2016,,,Limited Participation in Practice
00-0028495,10,2015,Out,Foot,Limited Participation in Practice
00-0029566,6,2017,,,Full Participation in Practice
00-0031238,1,2019,Questionable,Knee,Limited Participation in Practice
00-0031282,2,2019,,,Full Participation in Practice
00-0029263,12,2019,,,Full Participation in Practice
00-0031547,13,2022,,,Full Participation in Practice
00-0038621,7,2023,Questionable,Concussion,Limited Participation in Practice
00-0036954,1,2022,Out,Back,Did Not Participate In Practice
00-0036423,17,2023,Questionable,Hamstring,Limited Participation in Practice
00-0034394,8,2019,,,Full Participation in Practice
00-0034382,18,2023,Out,Concussion,Did Not Participate In Practice
00-0033221,18,2023,Questionable,Ankle,Did Not Participate In Practice
00-0034382,8,2022,Questionable,Illness,Limited Participation in Practice
00-0036429,18,2024,,,Limited Participation in Practice
00-0029672,8,2019,,,Full Participation in Practice
00-0030317,15,2015,Probable,Hip,Full Participation in Practice
00-0032164,14,2023,Out,Foot,Did Not Participate In Practice
00-0034116,5,2019,,,Limited Participation in Practice
00-0034830,12,2020,Questionable,Ankle,Limited Participation in Practice
00-0035677,16,2020,,,Full Participation in Practice
00-0034352,1,2022,,,Full Participation in Practice
00-0025405,8,2015,Questionable,Back,Full Participation in Practice
00-0035286,12,2022,Out,Foot,Did Not Participate In Practice
00-0038848,10,2023,Questionable,Hamstring,Limited Participation in Practice
00-0031040,4,2020,Questionable,Knee,Limited Participation in Practice
00-0037830,12,2023,Questionable,Knee,Full Participation in Practice
00-0029567,18,2022,Out,Ribs,Did Not Participate In Practice
00-0027067,10,2016,,,Full Participation in Practice
00-0032971,15,2017,,,Did Not Participate In Practice
00-0031366,2,2017,Doubtful,Ankle,Limited Participation in Practice
00-0031188,1,2019,,,Full Participation in Practice
00-0026980,9,2015,Probable,Ribs,Full Participation in Practice
00-0027885,15,2015,Questionable,Foot,Limited Participation in Practice
00-0031367,13,2018,,,Full Participation in Practice
00-0033928,14,2024,,,Full Participation in Practice
00-0026166,3,2019,,,Full Participation in Practice
00-0034488,10,2018,,,Limited Participation in Practice
00-0032233,15,2019,,,Full Participation in Practice
00-0033895,9,2023,,,Full Participation in Practice
00-0029542,13,2024,,,Did Not Participate In Practice
00-0031729,2,2015,Questionable,Back,Limited Participation in Practice
00-0022531,11,2015,Questionable,Back,Did Not Participate In Practice
00-0034381,10,2024,,,Full Participation in Practice
00-0027835,14,2016,Questionable,Concussion,Full Participation in Practice
00-0030288,19,2017,Questionable,Knee,Limited Participation in Practice
00-0035076,17,2021,Questionable,Back,Limited Participation in Practice
00-0031299,15,2016,Questionable,Ankle,Full Participation in Practice
00-0031387,2,2021,,,Full Participation in Practice
00-0035713,5,2024,,,Limited Participation in Practice
00-0027539,8,2017,Questionable,Back,Full Participation in Practice
00-0031273,13,2017,Questionable,Hip,Limited Participation in Practice
00-0036416,9,2024,Out,Hamstring,Did Not Participate In Practice
00-0032889,12,2024,,,Full Participation in Practice
00-0031929,1,2015,Out,Concussion,Limited Participation in Practice
00-0033051,4,2024,,,Did Not Participate In Practice
00-0030420,17,2017,Questionable,Foot,Limited Participation in Practice
00-0031382,15,2015,Probable,Knee,Limited Participation in Practice
00-0032214,12,2017,,,Full Participation in Practice
00-0034073,18,2024,,,Full Participation in Practice
00-0030114,9,2022,Out,Elbow,Did Not Participate In Practice
00-0035806,2,2024,Questionable,Knee,Limited Participation in Practice
00-0036262,13,2020,Out,Knee,Did Not Participate In Practice
00-0035853,10,2023,Questionable,Ankle,Limited Participation in Practice
00-0030059,14,2018,,,Full Participation in Practice
00-0025446,11,2018,,,Full Participation in Practice
00-0027914,7,2017,,,Full Participation in Practice
00-0037825,4,2024,Questionable,Knee,Full Participation in Practice
00-0026283,4,2016,Questionable,Hamstring,Limited Participation in Practice
00-0035139,9,2019,,,Full Participation in Practice
00-0024239,19,2016,,,Full Participation in Practice
00-0036843,13,2021,,,Did Not Participate In Practice
00-0033393,16,2022,Out,Ankle,Did Not Participate In Practice
00-0027993,6,2018,,,Limited Participation in Practice
00-0022531,7,2019,Out,Knee,Did Not Participate In Practice
00-0034407,12,2023,,,Full Participation in Practice
00-0030648,17,2021,,,Did Not Participate In Practice
00-0036369,11,2023,Questionable,Illness,Full Participation in Practice
00-0026166,17,2019,Out,Knee,Did Not Participate In Practice
00-0027860,5,2020,,,Full Participation in Practice
00-0037457,10,2024,Questionable,Ankle,Did Not Participate In Practice
00-0026153,17,2016,Questionable,Foot,Full Participation in Practice
00-0034796,15,2018,,,Full Participation in Practice
00-0032261,16,2020,Questionable,Calf,Limited Participation in Practice
00-0027980,6,2016,,,Full Participation in Practice
00-0027858,7,2018,Doubtful,Heel,Did Not Participate In Practice
00-0035664,17,2019,Out,Ankle,Did Not Participate In Practice
00-0036456,18,2021,,,Full Participation in Practice
00-0031572,9,2018,Out,Knee,Did Not Participate In Practice
00-0035235,15,2020,Questionable,Not Injury Related,Did Not Participate In Practice
00-0036416,4,2024,Questionable,Knee,Full Participation in Practice
00-0033893,9,2018,Questionable,Hamstring,Limited Participation in Practice
00-0030273,13,2018,Questionable,Quadricep,Limited Participation in Practice
00-0034559,15,2020,Questionable,Shoulder,Limited Participation in Practice
00-0038580,14,2024,Questionable,Hamstring,Limited Participation in Practice
00-0036410,3,2021,Doubtful,Shoulder,Limited Participation in Practice
00-0024270,7,2016,,,Did Not Participate In Practice
00-0032450,6,2016,Questionable,Ankle,Limited Participation in Practice
00-0039063,6,2024,Questionable,Calf,Full Participation in Practice
00-0032257,9,2018,,,Full Participation in Practice
00-0030108,11,2019,,,Full Participation in Practice
00-0029259,9,2016,Questionable,Knee,Limited Participation in Practice
00-0027947,19,2016,Questionable,Knee,Limited Participation in Practice
00-0032109,21,2019,,,Full Participation in Practice
00-0036323,13,2021,Questionable,Ribs,Full Participation in Practice
00-0037753,14,2022,,,Limited Participation in Practice
00-0036366,11,2024,Out,Neck,Did Not Participate In Practice
00-0024221,4,2015,Doubtful,Knee,Did Not Participate In Practice
00-0030448,3,2020,Doubtful,Foot,Did Not Participate In Practice
00-0036371,17,2024,Out,Knee,Limited Participation in Practice
00-0031105,14,2016,Out,Concussion,Did Not Participate In Practice
00-0031364,14,2015,Probable,Hamstring,Full Participation in Practice
00-0027055,8,2016,,,Did Not Participate In Practice
00-0031941,11,2017,,,Full Participation in Practice
00-0032773,4,2020,Questionable,Pectoral,Full Participation in Practice
00-0035649,2,2022,,,Full Participation in Practice
00-0026984,2,2015,Out,Concussion,Did Not Participate In Practice
00-0022927,7,2017,Questionable,Hamstring,Limited Participation in Practice
00-0031484,7,2017,,,Full Participation in Practice
00-0032781,13,2017,Questionable,Hand,Limited Participation in Practice
00-0030067,19,2020,,,Full Participation in Practice
00-0032127,1,2022,,,Full Participation in Practice
00-0036221,5,2022,,,Full Participation in Practice
00-0029678,16,2019,,,Full Participation in Practice
00-0024235,3,2016,,,Did Not Participate In Practice
00-0029566,8,2017,,,Full Participation in Practice
00-0032428,14,2017,Questionable,Knee,Full Participation in Practice
00-0032454,15,2019,Out,Toe,Did Not Participate In Practice
00-0027860,15,2020,,,Full Participation in Practice
00-0037259,15,2022,,,Full Participation in Practice
00-0027957,3,2017,,,Full Participation in Practice
00-0030711,11,2018,Out,Knee,Did Not Participate In Practice
00-0027856,11,2019,,,Full Participation in Practice
00-0029193,17,2022,,,Full Participation in Practice
00-0029664,4,2018,Questionable,Hamstring,Limited Participation in Practice
00-0033557,17,2021,,,Full Participation in Practice
00-0030710,6,2020,,,Full Participation in Practice
00-0030874,12,2021,Out,Calf,Did Not Participate In Practice
00-0036406,17,2022,,,Full Participation in Practice
00-0026561,6,2017,Questionable,Back,Did Not Participate In Practice
00-0027943,12,2023,,,Did Not Participate In Practice
00-0027686,14,2019,,,Full Participation in Practice
00-0036953,3,2024,,,Full Participation in Practice
00-0033876,1,2020,Out,Hamstring,Limited Participation in Practice
00-0036554,16,2022,Out,Foot,Did Not Participate In Practice
00-0039108,18,2023,Questionable,Ankle,Limited Participation in Practice
00-0030993,10,2016,Out,Ankle,Did Not Participate In Practice
00-0032970,16,2018,Questionable,Ankle,Limited Participation in Practice
00-0027867,10,2018,,,Full Participation in Practice
00-0033050,6,2016,Out,Knee,Did Not Participate In Practice
00-0034399,17,2022,,,Full Participation in Practice
00-0024235,1,2016,,,Limited Participation in Practice
00-0031554,8,2019,,,Full Participation in Practice
00-0037256,6,2024,Doubtful,Foot,Did Not Participate In Practice
00-0029250,8,2015,Doubtful,Knee,Did Not Participate In Practice
00-0035262,6,2021,Out,Chest,Did Not Participate In Practice
00-0032412,11,2023,,,Full Participation in Practice
00-0037216,19,2023,Questionable,Hamstring,Limited Participation in Practice
00-0028177,7,2015,Probable,Ankle,Full Participation in Practice
00-0034116,6,2022,,,Full Participation in Practice
00-0028903,17,2018,Out,Concussion,Limited Participation in Practice
00-0039144,17,2024,,,Limited Participation in Practice
00-0030072,13,2015,Out,Toe,Did Not Participate In Practice
00-0033242,6,2017,Out,Hamstring,Limited Participation in Practice
00-0034800,2,2024,,,Full Participation in Practice
00-0029613,5,2016,Doubtful,Hamstring,Did Not Participate In Practice
00-0036981,8,2022,Out,Knee,Did Not Participate In Practice
00-0033578,10,2019,Questionable,Knee,Did Not Participate In Practice
00-0037503,18,2022,Out,Concussion,Did Not Participate In Practice
00-0030062,16,2023,Out,Knee,Did Not Participate In Practice
00-0028067,4,2016,Questionable,Elbow,Limited Participation in Practice
00-0030500,10,2020,Questionable,Shoulder,Did Not Participate In Practice
00-0030062,8,2024,,,Full Participation in Practice
00-0029050,7,2015,Probable,Thumb,Full Participation in Practice
00-0027991,4,2016,,,Full Participation in Practice
00-0029955,9,2015,Probable,Knee,Full Participation in Practice
00-0031566,14,2017,Questionable,Rib,Limited Participation in Practice
00-0031314,17,2017,,,Full Participation in Practice
00-0024243,8,2022,,,Full Participation in Practice
00-0035526,15,2022,,,Limited Participation in Practice
00-0038125,11,2022,,,Full Participation in Practice
00-0034804,1,2023,,,Did Not Participate In Practice
00-0033943,2,2024,,,Full Participation in Practice
00-0022712,12,2016,,,Limited Participation in Practice
00-0031936,16,2022,Out,Concussion,Did Not Participate In Practice
00-0033591,10,2017,,,Full Participation in Practice
00-0038612,4,2024,Out,Hamstring,Did Not Participate In Practice
00-0033897,7,2020,Out,Foot,Did Not Participate In Practice
00-0035644,14,2024,,,Full Participation in Practice
00-0029259,12,2016,Questionable,Knee,Limited Participation in Practice
00-0029010,15,2016,Questionable,Back,Limited Participation in Practice
00-0032362,14,2017,Out,Concussion,Did Not Participate In Practice
00-0031546,16,2016,,,Full Participation in Practice
00-0030062,7,2024,Questionable,Knee,Full Participation in Practice
00-0030649,4,2016,Out,Illness,Did Not Participate In Practice
00-0033568,5,2017,Out,Quadricep,Full Participation in Practice
00-0033921,2,2022,Out,Hamstring,Did Not Participate In Practice
00-0031280,12,2023,,,Full Participation in Practice
00-0032007,9,2018,,,Full Participation in Practice
00-0030769,7,2015,Probable,Elbow,Full Participation in Practice
00-0026206,5,2016,,,Full Participation in Practice
00-0032259,14,2020,Out,Ankle,Did Not Participate In Practice
00-0029608,3,2019,Questionable,Quadricep,Limited Participation in Practice
00-0032766,7,2020,Questionable,Thumb,Did Not Participate In Practice
00-0034500,2,2018,Questionable,Hamstring,Limited Participation in Practice
00-0032395,19,2023,,,Full Participation in Practice
00-0026190,6,2021,,,Did Not Participate In Practice
00-0034545,18,2022,Questionable,Concussion,Full Participation in Practice
00-0039070,15,2024,Out,Knee,Did Not Participate In Practice
00-0030471,3,2020,Questionable,Calf,Limited Participation in Practice
00-0031075,14,2015,Probable,Back,Full Participation in Practice
00-0029799,6,2019,Questionable,Oblique,Full Participation in Practice
00-0028443,4,2016,Questionable,Hip,Limited Participation in Practice
00-0031372,18,2019,Questionable,Hamstring,Limited Participation in Practice
00-0036868,11,2021,,,Full Participation in Practice
00-0032934,15,2018,Questionable,Concussion,Limited Participation in Practice
00-0031426,17,2023,,,Full Participation in Practice
00-0027737,9,2015,Probable,Hamstring,Full Participation in Practice
00-0036326,11,2021,,,Full Participation in Practice
00-0036181,5,2023,Out,Toe,Did Not Participate In Practice
00-0035672,8,2023,Out,Ankle,Did Not Participate In Practice
00-0023441,12,2017,,,Full Participation in Practice
00-0021547,17,2017,,,Full Participation in Practice
00-0035375,9,2020,,,Full Participation in Practice
00-0023259,16,2017,,,Did Not Participate In Practice
00-0034348,18,2023,,,Full Participation in Practice
00-0039873,14,2024,Questionable,Wrist,Full Participation in Practice
00-0033376,1,2019,Questionable,Foot,Full Participation in Practice
00-0032395,16,2024,Questionable,Knee,Limited Participation in Practice
00-0028846,12,2015,Probable,Foot,Full Participation in Practice
00-0029316,2,2023,Questionable,Hand,Limited Participation in Practice
00-0024466,9,2015,Probable,Not Injury Related,Full Participation in Practice
00-0034759,13,2018,,,Full Participation in Practice
00-0034350,15,2019,Questionable,Ankle,Limited Participation in Practice
00-0027953,15,2017,,,Full Participation in Practice
00-0033091,15,2018,Doubtful,Finger,Did Not Participate In Practice
00-0032762,19,2019,Questionable,Calf,Did Not Participate In Practice
00-0033293,11,2022,,,Limited Participation in Practice
00-0032378,15,2017,,,Full Participation in Practice
00-0033111,4,2016,,,Full Participation in Practice
00-0033877,4,2019,Out,Knee,Did Not Participate In Practice
00-0036040,15,2022,Questionable,Ankle,Limited Participation in Practice
00-0036672,4,2024,,,Full Participation in Practice
00-0036990,5,2024,Questionable,Oblique,Limited Participation in Practice
00-0027857,14,2024,Out,Ankle,Did Not Participate In Practice
00-0031365,6,2015,Out,Shoulder,Limited Participation in Practice
00-0032807,6,2022,,,Full Participation in Practice
00-0025900,8,2017,Out,Calf,Did Not Participate In Practice
00-0034116,7,2023,Out,Hamstring,Did Not Participate In Practice
00-0033503,7,2018,Questionable,Hip,Limited Participation in Practice
00-0030010,11,2019,Questionable,Hip,Limited Participation in Practice
00-0036237,11,2023,,,Full Participation in Practice
00-0033874,12,2022,Questionable,Abdomen,Limited Participation in Practice
00-0031904,17,2015,Questionable,Quadricep,Limited Participation in Practice
00-0034754,1,2023,,,Full Participation in Practice
00-0027325,5,2016,Questionable,Hip,Limited Participation in Practice
00-0035276,14,2024,,,Full Participation in Practice
00-0028172,5,2016,Questionable,Neck,Full Participation in Practice
00-0027968,4,2018,Out,Ankle,Did Not Participate In Practice
00-0030542,5,2018,Out,Not Injury Related,Did Not Participate In Practice
00-0033040,17,2020,Out,Hamstring,Did Not Participate In Practice
00-0035300,2,2020,Out,Ankle,Did Not Participate In Practice
00-0027022,7,2017,,,Full Participation in Practice
00-0027840,8,2017,Out,Concussion,Did Not Participate In Practice
00-0032452,15,2018,Questionable,Ankle,Limited Participation in Practice
00-0033293,17,2021,,,Limited Participation in Practice
00-0034797,15,2019,,,Full Participation in Practice
00-0033872,5,2020,Out,Groin,Did Not Participate In Practice
00-0031551,15,2016,Questionable,Ankle,Did Not Participate In Practice
00-0034844,4,2021,,,Limited Participation in Practice
00-0032466,14,2022,,,Full Participation in Practice
00-0036934,18,2022,,,Full Participation in Practice
00-0032888,17,2018,,,Full Participation in Practice
00-0031236,9,2023,,,Limited Participation in Practice
00-0030380,13,2020,,,Full Participation in Practice
00-0030579,4,2016,Out,Calf,Did Not Participate In Practice
00-0034383,15,2023,,,Full Participation in Practice
00-0029033,14,2015,Probable,Hamstring,Limited Participation in Practice
00-0034743,4,2019,,,Full Participation in Practice
00-0035726,9,2023,Out,Concussion,Did Not Participate In Practice
00-0024249,1,2015,Probable,Toe,Full Participation in Practice
00-0030503,8,2015,Out,Calf,Did Not Participate In Practice
00-0033880,16,2017,,,Full Participation in Practice
00-0032437,10,2018,,,Full Participation in Practice
00-0034360,8,2021,Out,Ankle,Did Not Participate In Practice
00-0030108,10,2017,,,Did Not Participate In Practice
00-0033303,8,2023,,,Full Participation in Practice
00-0030427,13,2018,,,Full Participation in Practice
00-0027856,4,2015,Questionable,Shoulder,Limited Participation in Practice
00-0036334,4,2020,,,Full Participation in Practice
00-0037191,18,2023,Questionable,Shoulder,Full Participation in Practice
00-0033935,4,2024,,,Full Participation in Practice
00-0031921,7,2024,,,Full Participation in Practice
00-0037591,12,2024,Out,Back,Did Not Participate In Practice
00-0029316,13,2024,,,Full Participation in Practice
00-0035594,16,2024,Doubtful,Hamstring,Limited Participation in Practice
00-0029643,11,2018,,,Limited Participation in Practice
00-0032393,4,2018,Doubtful,Abdomen,Did Not Participate In Practice
00-0034899,15,2022,Out,Neck,Did Not Participate In Practice
00-0037267,4,2023,,,Full Participation in Practice
00-0029685,10,2024,,,Limited Participation in Practice
00-0028063,15,2022,,,Did Not Participate In Practice
00-0027730,8,2015,Probable,Knee,Full Participation in Practice
00-0033594,16,2018,,,Full Participation in Practice
00-0031534,6,2019,Questionable,Knee,Did Not Participate In Practice
00-0027696,6,2018,,,Full Participation in Practice
00-0027952,20,2022,,,Full Participation in Practice
00-0033570,5,2017,,,Full Participation in Practice
00-0036927,14,2024,,,Full Participation in Practice
00-0034854,16,2020,,,Full Participation in Practice
00-0033280,13,2024,,,Full Participation in Practice
00-0038103,3,2023,Questionable,Knee,Limited Participation in Practice
00-0036384,17,2020,,,Full Participation in Practice
00-0027743,7,2020,Out,Hamstring,Did Not Participate In Practice
00-0039394,16,2024,Out,Concussion,Limited Participation in Practice
00-0029668,5,2015,Questionable,right Shoulder,Limited Participation in Practice
00-0024243,16,2017,,,Limited Participation in Practice
00-0030433,20,2017,Questionable,Knee,Limited Participation in Practice
00-0036365,2,2021,,,Full Participation in Practice
00-0029892,18,2023,Questionable,Illness,"
    "
00-0038476,13,2024,Questionable,Right Forearm,Did Not Participate In Practice
00-0022531,15,2023,,,Did Not Participate In Practice
00-0032803,3,2017,,,Full Participation in Practice
00-0033594,3,2021,,,Full Participation in Practice
00-0029529,9,2018,Questionable,Toe,Full Participation in Practice
00-0032760,16,2018,Questionable,Back,Did Not Participate In Practice
00-0027653,21,2015,Probable,Ankle,Full Participation in Practice
00-0031256,7,2016,,,Full Participation in Practice
00-0026300,17,2018,,,Full Participation in Practice
00-0036995,8,2021,,,Full Participation in Practice
00-0032187,13,2021,Questionable,Illness,Did Not Participate In Practice
00-0029542,17,2016,Out,Concussion,Did Not Participate In Practice
00-0028064,11,2015,Probable,Ankle,Full Participation in Practice
00-0035343,10,2022,,,Full Participation in Practice
00-0029575,12,2016,Out,Foot,Did Not Participate In Practice
00-0028130,3,2019,Out,right Groin,Did Not Participate In Practice
00-0027793,10,2021,Out,Ankle,Did Not Participate In Practice
00-0028012,4,2015,Probable,Chest,Limited Participation in Practice
00-0037459,5,2022,,,Full Participation in Practice
00-0039152,14,2023,,,Full Participation in Practice
00-0036633,7,2021,Questionable,Illness,Limited Participation in Practice
00-0032803,1,2017,,,Full Participation in Practice
00-0027081,5,2017,,,Full Participation in Practice
00-0029560,16,2018,,,Full Participation in Practice
00-0029562,6,2017,Questionable,Ankle,Limited Participation in Practice
00-0027866,13,2019,,,Full Participation in Practice
00-0023441,8,2018,,,Full Participation in Practice
00-0027869,7,2020,Questionable,Back,Limited Participation in Practice
00-0038090,20,2022,,,Full Participation in Practice
00-0027857,13,2023,,,Did Not Participate In Practice
00-0031305,7,2015,Probable,Ankle,Full Participation in Practice
00-0033930,19,2023,,,Full Participation in Practice
00-0036554,2,2024,,,Full Participation in Practice
00-0032209,13,2016,,,Limited Participation in Practice
00-0033886,6,2024,,,Full Participation in Practice
00-0035022,6,2022,Out,Hamstring,Did Not Participate In Practice
00-0039363,15,2024,Questionable,Foot,Limited Participation in Practice
00-0033906,9,2018,,,Full Participation in Practice
00-0039156,17,2024,Questionable,Knee,Full Participation in Practice
00-0028411,14,2015,Out,Neck,Did Not Participate In Practice
00-0029261,13,2020,Questionable,Groin,Limited Participation in Practice
00-0034869,15,2018,,,Full Participation in Practice
00-0032378,3,2022,,,Full Participation in Practice
00-0024235,10,2016,,,Did Not Participate In Practice
00-0032054,5,2015,Out,Knee,Did Not Participate In Practice
00-0027867,12,2016,Questionable,Knee,Limited Participation in Practice
00-0027875,1,2020,Questionable,Hamstring,Limited Participation in Practice
00-0037829,16,2023,,,Full Participation in Practice
00-0032389,4,2019,Questionable,Elbow,Full Participation in Practice
00-0036850,2,2023,,,Full Participation in Practice
00-0031428,10,2020,Questionable,Knee,Limited Participation in Practice
00-0030471,1,2020,Out,Calf,Did Not Participate In Practice
00-0033889,2,2024,,,Full Participation in Practice
00-0031608,13,2019,,,Full Participation in Practice
00-0033906,6,2019,Questionable,Ankle,Did Not Participate In Practice
00-0029408,14,2015,Questionable,Shoulder,Did Not Participate In Practice
00-0033546,11,2017,,,Limited Participation in Practice
00-0027573,12,2017,Questionable,Knee,Full Participation in Practice
00-0028060,5,2015,Probable,Ankle,Full Participation in Practice
00-0031325,11,2019,,,Full Participation in Practice
00-0029144,16,2019,Doubtful,Calf,Did Not Participate In Practice
00-0035530,2,2021,Questionable,Illness,Full Participation in Practice
00-0035698,5,2023,,,Full Participation in Practice
00-0026217,11,2015,Doubtful,Knee,Did Not Participate In Practice
00-0027854,8,2017,Out,Knee,Did Not Participate In Practice
00-0032950,4,2021,Questionable,Ankles,Limited Participation in Practice
00-0032386,6,2018,Questionable,Foot,Full Participation in Practice
00-0029672,14,2019,Questionable,Concussion,Limited Participation in Practice
00-0031087,15,2018,Questionable,Ankle,Limited Participation in Practice
00-0030874,3,2017,Questionable,Rib,Full Participation in Practice
00-0032765,2,2018,,,Full Participation in Practice
00-0028702,9,2017,,,Did Not Participate In Practice
00-0031547,3,2023,,,Limited Participation in Practice
00-0028008,7,2018,Doubtful,Hamstring,Did Not Participate In Practice
00-0032466,2,2020,,,Full Participation in Practice
00-0034345,4,2024,Out,Pectoral,Did Not Participate In Practice
00-0035685,8,2023,Out,Ribs,Did Not Participate In Practice
00-0029413,12,2018,,,Full Participation in Practice
00-0032437,12,2021,,,Full Participation in Practice
00-0037005,16,2023,,,Limited Participation in Practice
00-0030465,16,2016,,,Did Not Participate In Practice
00-0039384,9,2024,,,Full Participation in Practice
00-0033955,14,2021,,,Full Participation in Practice
00-0029570,12,2019,Questionable,Ankle,Limited Participation in Practice
00-0028037,12,2018,Out,Knee,Did Not Participate In Practice
00-0034759,9,2024,,,Full Participation in Practice
00-0033524,12,2018,Questionable,Hamstring,Limited Participation in Practice
00-0029413,2,2022,,,Full Participation in Practice
00-0030513,13,2016,Questionable,Ankle,Limited Participation in Practice
